Epoch: 88, cost_train = 0.122356253, accuracy_train = 96.91%, accuracy_test = 97.70%
Epoch: 89, cost_train = 0.121953401, accuracy_train = 96.87%, accuracy_test = 97.68%
Epoch: 90, cost_train = 0.120127396, accuracy_train = 96.71%, accuracy_test = 97.65%
Epoch: 91, cost_train = 0.120625940, accuracy_train = 96.66%, accuracy_test = 97.58%
Epoch: 92, cost_train = 0.118889522, accuracy_train = 97.03%, accuracy_test = 97.67%
Epoch: 93, cost_train = 0.119285867, accuracy_train = 96.90%, accuracy_test = 97.76%
Epoch: 94, cost_train = 0.118633557, accuracy_train = 96.97%, accuracy_test = 97.68%
Epoch: 95, cost_train = 0.115804032, accuracy_train = 97.16%, accuracy_test = 97.66%
Epoch: 96, cost_train = 0.116774250, accuracy_train = 96.78%, accuracy_test = 97.75%
Epoch: 97, cost_train = 0.117790407, accuracy_train = 97.04%, accuracy_test = 97.76%
Epoch: 98, cost_train = 0.115547282, accuracy_train = 96.86%, accuracy_test = 97.76%
Epoch: 99, cost_train = 0.116064931, accuracy_train = 97.19%, accuracy_test = 97.83%
Epoch: 100, cost_train = 0.114257603, accuracy_train = 96.94%, accuracy_test = 97.78%
Epoch: 101, cost_train = 0.112503493, accuracy_train = 97.15%, accuracy_test = 97.71%
Epoch: 102, cost_train = 0.112037270, accuracy_train = 96.96%, accuracy_test = 97.69%
Epoch: 103, cost_train = 0.114954840, accuracy_train = 96.70%, accuracy_test = 97.87%
Epoch: 104, cost_train = 0.109753624, accuracy_train = 97.02%, accuracy_test = 97.82%
Epoch: 105, cost_train = 0.109298573, accuracy_train = 97.09%, accuracy_test = 97.91%
Epoch: 106, cost_train = 0.110978480, accuracy_train = 97.39%, accuracy_test = 97.78%
Epoch: 107, cost_train = 0.108891108, accuracy_train = 97.52%, accuracy_test = 97.87%
Epoch: 108, cost_train = 0.109023938, accuracy_train = 97.21%, accuracy_test = 97.84%
Epoch: 109, cost_train = 0.106898967, accuracy_train = 97.19%, accuracy_test = 97.88%
Epoch: 110, cost_train = 0.107214212, accuracy_train = 97.36%, accuracy_test = 97.84%
Epoch: 111, cost_train = 0.106574819, accuracy_train = 97.17%, accuracy_test = 97.97%
Epoch: 112, cost_train = 0.108641124, accuracy_train = 97.00%, accuracy_test = 97.86%
Epoch: 113, cost_train = 0.108802995, accuracy_train = 97.12%, accuracy_test = 97.88%
Epoch: 114, cost_train = 0.107939456, accuracy_train = 97.29%, accuracy_test = 97.93%
Epoch: 115, cost_train = 0.106266958, accuracy_train = 97.40%, accuracy_test = 97.91%
Epoch: 116, cost_train = 0.105708773, accuracy_train = 97.45%, accuracy_test = 97.85%
Epoch: 117, cost_train = 0.105005669, accuracy_train = 97.63%, accuracy_test = 97.92%
Epoch: 118, cost_train = 0.102247341, accuracy_train = 97.45%, accuracy_test = 97.96%
Epoch: 119, cost_train = 0.103050879, accuracy_train = 97.46%, accuracy_test = 97.90%
Epoch: 120, cost_train = 0.103169602, accuracy_train = 97.06%, accuracy_test = 97.99%
Epoch: 121, cost_train = 0.102380564, accuracy_train = 97.16%, accuracy_test = 98.00%
Epoch: 122, cost_train = 0.101922362, accuracy_train = 97.47%, accuracy_test = 97.95%
Epoch: 123, cost_train = 0.102783908, accuracy_train = 97.27%, accuracy_test = 97.93%
Epoch: 124, cost_train = 0.100296659, accuracy_train = 97.40%, accuracy_test = 97.87%
Epoch: 125, cost_train = 0.100146268, accuracy_train = 97.57%, accuracy_test = 97.88%
Epoch: 126, cost_train = 0.103207130, accuracy_train = 97.38%, accuracy_test = 97.98%
Epoch: 127, cost_train = 0.100098829, accuracy_train = 97.38%, accuracy_test = 97.98%
Epoch: 128, cost_train = 0.098566490, accuracy_train = 96.94%, accuracy_test = 97.92%
Epoch: 129, cost_train = 0.098745699, accuracy_train = 97.25%, accuracy_test = 98.01%
Epoch: 130, cost_train = 0.098624700, accuracy_train = 97.61%, accuracy_test = 98.04%
Epoch: 131, cost_train = 0.098002864, accuracy_train = 97.88%, accuracy_test = 97.99%
Epoch: 132, cost_train = 0.098786754, accuracy_train = 97.68%, accuracy_test = 98.03%
Epoch: 133, cost_train = 0.097457401, accuracy_train = 97.40%, accuracy_test = 97.96%
Epoch: 134, cost_train = 0.096742326, accuracy_train = 97.53%, accuracy_test = 98.08%
Epoch: 135, cost_train = 0.097439424, accuracy_train = 97.59%, accuracy_test = 98.09%
Epoch: 136, cost_train = 0.096853883, accuracy_train = 97.69%, accuracy_test = 97.99%
Epoch: 137, cost_train = 0.097242481, accuracy_train = 97.14%, accuracy_test = 97.97%
Epoch: 138, cost_train = 0.094019115, accuracy_train = 97.38%, accuracy_test = 98.12%
Epoch: 139, cost_train = 0.098256493, accuracy_train = 97.30%, accuracy_test = 98.00%
Epoch: 140, cost_train = 0.095640417, accuracy_train = 97.13%, accuracy_test = 98.01%
Epoch: 141, cost_train = 0.094768676, accuracy_train = 97.60%, accuracy_test = 98.00%
Epoch: 142, cost_train = 0.094857466, accuracy_train = 97.57%, accuracy_test = 98.12%
Epoch: 143, cost_train = 0.093375578, accuracy_train = 97.62%, accuracy_test = 98.06%
Epoch: 144, cost_train = 0.093747068, accuracy_train = 97.44%, accuracy_test = 98.05%
Epoch: 145, cost_train = 0.094463939, accuracy_train = 97.44%, accuracy_test = 98.03%
Epoch: 146, cost_train = 0.093548348, accuracy_train = 97.68%, accuracy_test = 98.08%
Epoch: 147, cost_train = 0.094178969, accuracy_train = 97.68%, accuracy_test = 98.16%
Epoch: 148, cost_train = 0.091614506, accuracy_train = 97.61%, accuracy_test = 98.14%
Epoch: 149, cost_train = 0.093356943, accuracy_train = 97.29%, accuracy_test = 98.07%
Epoch: 150, cost_train = 0.090483669, accuracy_train = 97.60%, accuracy_test = 98.04%
Epoch: 151, cost_train = 0.093267439, accuracy_train = 97.47%, accuracy_test = 98.16%
Epoch: 152, cost_train = 0.093229073, accuracy_train = 97.57%, accuracy_test = 98.05%
Epoch: 153, cost_train = 0.089961395, accuracy_train = 97.75%, accuracy_test = 98.16%
Epoch: 154, cost_train = 0.091842776, accuracy_train = 97.65%, accuracy_test = 98.07%
Epoch: 155, cost_train = 0.090017633, accuracy_train = 97.69%, accuracy_test = 98.21%
Epoch: 156, cost_train = 0.091561795, accuracy_train = 97.65%, accuracy_test = 98.11%
Epoch: 157, cost_train = 0.090240873, accuracy_train = 97.43%, accuracy_test = 98.08%
Epoch: 158, cost_train = 0.090065460, accuracy_train = 97.49%, accuracy_test = 98.16%
Epoch: 159, cost_train = 0.089853375, accuracy_train = 97.92%, accuracy_test = 98.10%
Epoch: 160, cost_train = 0.090078520, accuracy_train = 97.84%, accuracy_test = 98.04%
Epoch: 161, cost_train = 0.087385338, accuracy_train = 97.80%, accuracy_test = 98.13%
Epoch: 162, cost_train = 0.086945928, accuracy_train = 97.71%, accuracy_test = 98.13%
Epoch: 163, cost_train = 0.087303067, accuracy_train = 97.66%, accuracy_test = 98.09%
Epoch: 164, cost_train = 0.087932485, accuracy_train = 97.82%, accuracy_test = 98.03%
Epoch: 165, cost_train = 0.087096734, accuracy_train = 98.01%, accuracy_test = 98.10%
Epoch: 166, cost_train = 0.089395601, accuracy_train = 97.83%, accuracy_test = 98.20%
Epoch: 167, cost_train = 0.089204548, accuracy_train = 97.80%, accuracy_test = 98.13%
Epoch: 168, cost_train = 0.086084775, accuracy_train = 97.94%, accuracy_test = 98.22%
Epoch: 169, cost_train = 0.085669101, accuracy_train = 97.80%, accuracy_test = 98.11%
Epoch: 170, cost_train = 0.088728058, accuracy_train = 97.33%, accuracy_test = 98.16%
Epoch: 171, cost_train = 0.085854263, accuracy_train = 97.67%, accuracy_test = 98.12%
Epoch: 172, cost_train = 0.083354407, accuracy_train = 97.85%, accuracy_test = 98.21%
Epoch: 173, cost_train = 0.083961746, accuracy_train = 97.94%, accuracy_test = 98.15%
Epoch: 174, cost_train = 0.089247334, accuracy_train = 97.57%, accuracy_test = 98.23%
Epoch: 175, cost_train = 0.083388725, accuracy_train = 97.86%, accuracy_test = 98.18%
Epoch: 176, cost_train = 0.084648219, accuracy_train = 98.13%, accuracy_test = 98.20%
Epoch: 177, cost_train = 0.081824753, accuracy_train = 97.79%, accuracy_test = 98.09%
Epoch: 178, cost_train = 0.083459766, accuracy_train = 97.98%, accuracy_test = 98.24%
Epoch: 179, cost_train = 0.082978996, accuracy_train = 98.01%, accuracy_test = 98.24%
