Free memory: 5.75GiB
2017-08-08 14:35:30.513650: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-08 14:35:30.513655: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-08 14:35:30.513661: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[  1.00000179e+00   3.15892568e-04   1.73035935e-02 ...,  -5.50063036e-04
    8.24835058e-03  -5.06040547e-03]
 [  3.15892568e-04   9.73555684e-01  -1.67631079e-03 ...,  -7.34409923e-03
    1.97415170e-03   8.43880232e-03]
 [  1.73035935e-02  -1.67631079e-03   9.99067008e-01 ...,  -1.81208481e-03
   -2.26946790e-02  -2.77298782e-03]
 ..., 
 [ -5.50063036e-04  -7.34409923e-03  -1.81208481e-03 ...,   9.91514683e-01
    2.62353700e-02   5.67122642e-03]
 [  8.24835058e-03   1.97415170e-03  -2.26946790e-02 ...,   2.62353700e-02
    9.72184479e-01  -5.70304831e-03]
 [ -5.06040547e-03   8.43880232e-03  -2.77298782e-03 ...,   5.67122642e-03
   -5.70304831e-03   9.70850945e-01]]
Epoch: 83, cost_train = 0.072337979, accuracy_train = 98.48%, accuracy_test = 98.44%
Epoch: 84, cost_train = 0.075296351, accuracy_train = 98.58%, accuracy_test = 98.62%
Epoch: 85, cost_train = 0.078022939, accuracy_train = 98.37%, accuracy_test = 98.50%
Epoch: 86, cost_train = 0.075024952, accuracy_train = 98.45%, accuracy_test = 98.56%
Epoch: 87, cost_train = 0.075370720, accuracy_train = 98.30%, accuracy_test = 98.55%
Epoch: 88, cost_train = 0.072069633, accuracy_train = 98.74%, accuracy_test = 98.49%
Epoch: 89, cost_train = 0.073286743, accuracy_train = 98.60%, accuracy_test = 98.56%
Epoch: 90, cost_train = 0.071962655, accuracy_train = 98.64%, accuracy_test = 98.59%
Epoch: 91, cost_train = 0.072389522, accuracy_train = 98.68%, accuracy_test = 98.62%
Epoch: 92, cost_train = 0.072232546, accuracy_train = 98.55%, accuracy_test = 98.72%
Epoch: 93, cost_train = 0.071379910, accuracy_train = 98.59%, accuracy_test = 98.57%
Epoch: 94, cost_train = 0.070857033, accuracy_train = 98.52%, accuracy_test = 98.56%
Epoch: 95, cost_train = 0.072154342, accuracy_train = 98.66%, accuracy_test = 98.72%
Epoch: 96, cost_train = 0.071063779, accuracy_train = 98.55%, accuracy_test = 98.62%
Epoch: 97, cost_train = 0.070078313, accuracy_train = 98.71%, accuracy_test = 98.65%
Epoch: 98, cost_train = 0.069895910, accuracy_train = 98.82%, accuracy_test = 98.71%
Epoch: 99, cost_train = 0.069074767, accuracy_train = 98.73%, accuracy_test = 98.63%
Epoch: 100, cost_train = 0.067121439, accuracy_train = 98.65%, accuracy_test = 98.60%
Epoch: 101, cost_train = 0.071365612, accuracy_train = 98.58%, accuracy_test = 98.65%
Epoch: 102, cost_train = 0.067743608, accuracy_train = 98.60%, accuracy_test = 98.57%
Epoch: 103, cost_train = 0.068947826, accuracy_train = 98.53%, accuracy_test = 98.49%
Epoch: 104, cost_train = 0.068335846, accuracy_train = 98.34%, accuracy_test = 98.47%
Epoch: 105, cost_train = 0.066639824, accuracy_train = 98.74%, accuracy_test = 98.62%
Epoch: 106, cost_train = 0.066789916, accuracy_train = 98.86%, accuracy_test = 98.63%
Epoch: 107, cost_train = 0.066341364, accuracy_train = 98.91%, accuracy_test = 98.65%
Epoch: 108, cost_train = 0.065469674, accuracy_train = 98.71%, accuracy_test = 98.50%
Epoch: 109, cost_train = 0.066260191, accuracy_train = 98.55%, accuracy_test = 98.60%
Epoch: 110, cost_train = 0.065911205, accuracy_train = 98.69%, accuracy_test = 98.69%
Epoch: 111, cost_train = 0.065197223, accuracy_train = 98.62%, accuracy_test = 98.64%
